25.07.2018 um 08:41, ANALYSE-FLASH: Berenberg hebt Ziel für Adidas auf 207 Euro - 'Hold'
2018-09-07 20:48:26.803904, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-07 20:51:33.374766, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-07 20:55:42.547660, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-08 13:21:53.779163, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-08 13:55:48.711886, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-08 14:41:03.498790, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-08 14:45:23.525450, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-08 16:38:02.004616, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-08 16:49:03.453479, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-09 00:11:35.120461, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-09 00:13:47.000163, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-10 07:56:25.113176, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
2018-09-10 08:11:32.422370, Test Eintrag
16.07.2018 um 8:51, Test Eintrag
